# Copyright (C) 2025  Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus Prime License Agreement,
# the Altera IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Altera and sold by Altera or its authorized distributors.  Please
# refer to the Altera Software License Subscription Agreements 
# on the Quartus Prime software download page.

# Quartus Prime Version 24.1std.0 Build 1077 03/04/2025 SC Lite Edition
# File: /home/nolan/code/misc/puter/quartus/pin_assignments.csv
# Generated on: Wed Apr 22 03:14:55 2026

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
displays[5][5],Output,PIN_N19,6,B6_N0,PIN_L19,3.3-V LVTTL,,,,,
displays[5][6],Output,PIN_N20,6,B6_N0,PIN_D22,3.3-V LVTTL,,,,,
lights[9],Output,,,,PIN_R4,,,,,,
lights[8],Output,,,,PIN_R9,,,,,,
lights[7],Output,,,,PIN_B7,,,,,,
lights[6],Output,,,,PIN_R3,,,,,,
lights[5],Output,,,,PIN_H4,,,,,,
lights[4],Output,,,,PIN_J9,,,,,,
lights[3],Output,,,,PIN_L9,,,,,,
lights[2],Output,,,,PIN_U3,,,,,,
lights[1],Output,,,,PIN_A4,,,,,,
lights[0],Output,PIN_A8,7,B7_N0,PIN_A8,3.3-V LVTTL,,,,,
mode,Input,PIN_AB5,3,B3_N0,PIN_AB5,3.3-V LVTTL,,,,,
switches[9],Input,,,,PIN_L22,,,,,,
switches[8],Input,,,,PIN_P21,,,,,,
switches[7],Input,,,,PIN_AA15,,,,,,
switches[6],Input,,,,PIN_Y13,,,,,,
switches[5],Input,,,,PIN_Y8,,,,,,
switches[4],Input,,,,PIN_T1,,,,,,
switches[3],Input,,,,PIN_H20,,,,,,
switches[2],Input,,,,PIN_V4,,,,,,
switches[1],Input,,,,PIN_AB6,,,,,,
switches[0],Input,,,,PIN_T19,,,,,,
